,Date,Symbol,Name,Open,Close,Dividends
0,2021-05-26,A,Agilent Technologies Inc. Common Stock,"Datetime
2021-05-26 15:59:00-04:00    133.429993
Name: Open, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    133.309998
Name: Close, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    0
Name: Dividends, dtype: int64"
1,2021-05-26,AA,Alcoa Corporation Common Stock ,"Datetime
2021-05-26 15:59:00-04:00    36.494999
Name: Open, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    36.549999
Name: Close, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    0
Name: Dividends, dtype: int64"
2,2021-05-26,AAC,Ares Acquisition Corporation Class A Ordinary Shares,"Datetime
2021-05-26 15:59:00-04:00    9.85
Name: Open, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    9.82
Name: Close, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    0
Name: Dividends, dtype: int64"
3,2021-05-26,AAIC,Arlington Asset Investment Corp Class A (new),"Datetime
2021-05-26 15:59:00-04:00    4.005
Name: Open, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    4.0
Name: Close, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    0
Name: Dividends, dtype: int64"
4,2021-05-26,AAN,Aarons Holdings Company Inc. Common Stock ,"Datetime
2021-05-26 15:59:00-04:00    36.049999
Name: Open, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    36.060001
Name: Close, dtype: float64","Datetime
2021-05-26 15:59:00-04:00    0
Name: Dividends, dtype: int64"
